epoch,algorithm,x_value,y_value,bias,target_bias,reward,T_X,T_Z,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,trust_region_length
33,physical coordinates + reward,33,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
34,physical coordinates + reward,34,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
35,physical coordinates + reward,35,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
0,BLT physical-coordinate based,0,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,PHYSICAL_UPDATE,0,0,0,2.0,2.0,0.34
1,BLT physical-coordinate based,1,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,PHYSICAL_UPDATE,0,0,0,2.0,6.0,0.3148148148148148
2,BLT physical-coordinate based,2,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,BLT_REWARD_REGION,1,1,0,4.0,10.0,0.2914951989026063
3,BLT physical-coordinate based,3,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,BLT_REWARD_REGION,1,1,0,4.0,14.0,0.26990296194685764
4,BLT physical-coordinate based,4,42.449049326674846,42.449049326674846,100.0,-12.867516128110132,0.3115674901055808,13.225743756080076,BLT_REWARD_REGION,1,1,0,4.0,18.0,0.2914951989026063
5,BLT physical-coordinate based,5,42.449049326674846,42.449049326674846,100.0,-12.867516128110132,0.3115674901055808,13.225743756080076,BLT_REWARD_REGION,1,1,0,4.0,22.0,0.26990296194685764
6,BLT physical-coordinate based,6,42.449049326674846,42.449049326674846,100.0,-12.867516128110132,0.3115674901055808,13.225743756080076,BLT_REWARD_REGION,1,1,0,4.0,26.0,0.2499101499507941
7,BLT physical-coordinate based,7,45.00322940999469,45.00322940999469,100.0,-153.2588216331421,0.281857644557636,12.684504238988033,PHYSICAL_UPDATE,0,0,0,2.0,30.0,0.26990296194685764
8,BLT physical-coordinate based,8,81.15556307750975,81.15556307750975,100.0,-0.3617025794653289,0.2373306554560338,19.260702979088883,BLT_REWARD_REGION,1,1,0,4.0,34.0,0.2914951989026063
9,BLT physical-coordinate based,9,99.44102711709115,99.44102711709115,100.0,0.4838854812682165,0.21429461406355957,21.309676528141008,BLT_JACOBIAN_UPDATE,1,1,1,28.0,62.0,0.3148148148148148
10,BLT physical-coordinate based,10,100.28120616759148,100.28120616759148,100.0,0.4551846979923384,0.21504362629005805,21.564834223019805,BLT_JACOBIAN_UPDATE,1,1,1,28.0,90.0,0.34
11,BLT physical-coordinate based,11,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_JACOBIAN_UPDATE,1,1,1,28.0,118.0,0.3672
12,BLT physical-coordinate based,12,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,122.0,0.34
13,BLT physical-coordinate based,13,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,126.0,0.3148148148148148
14,BLT physical-coordinate based,14,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,130.0,0.2914951989026063
15,BLT physical-coordinate based,15,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,134.0,0.26990296194685764
16,BLT physical-coordinate based,16,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,138.0,0.2499101499507941
17,BLT physical-coordinate based,17,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,142.0,0.23139828699147602
18,BLT physical-coordinate based,18,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,146.0,0.21425767314025557
19,BLT physical-coordinate based,19,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,150.0,0.19838673438912552
20,BLT physical-coordinate based,20,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,154.0,0.18369142073067177
21,BLT physical-coordinate based,21,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,158.0,0.17008464882469607
22,BLT physical-coordinate based,22,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,162.0,0.15748578594879264
23,BLT physical-coordinate based,23,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,166.0,0.145820172174808
24,BLT physical-coordinate based,24,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,170.0,0.13501867793963704
25,BLT physical-coordinate based,25,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,174.0,0.1250172943885528
26,BLT physical-coordinate based,26,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,178.0,0.11575675406347481
27,BLT physical-coordinate based,27,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,182.0,0.1071821796884026
28,BLT physical-coordinate based,28,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,186.0,0.1
29,BLT physical-coordinate based,29,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,190.0,0.1
30,BLT physical-coordinate based,30,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,194.0,0.1
31,BLT physical-coordinate based,31,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,198.0,0.1
32,BLT physical-coordinate based,32,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,202.0,0.1
33,BLT physical-coordinate based,33,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,206.0,0.1
34,BLT physical-coordinate based,34,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,210.0,0.1
35,BLT physical-coordinate based,35,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,214.0,0.1
