epoch,algorithm,x_value,y_value,bias,target_bias,reward,T_X,T_Z,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,trust_region_length
30,2-points with noise,30,101.78268429612707,101.78268429612707,100.0,0.14470417746339523,0.2213957718787682,22.53425595363403,NOISY_TWO_POINT,,,,,,
31,2-points with noise,31,101.78268429612707,101.78268429612707,100.0,0.14470417746339523,0.2213957718787682,22.53425595363403,NOISY_TWO_POINT,,,,,,
32,2-points with noise,32,101.78268429612707,101.78268429612707,100.0,0.14470417746339523,0.2213957718787682,22.53425595363403,NOISY_TWO_POINT,,,,,,
33,2-points with noise,33,101.78268429612707,101.78268429612707,100.0,0.14470417746339523,0.2213957718787682,22.53425595363403,NOISY_TWO_POINT,,,,,,
34,2-points with noise,34,101.78268429612707,101.78268429612707,100.0,0.14470417746339523,0.2213957718787682,22.53425595363403,NOISY_TWO_POINT,,,,,,
35,2-points with noise,35,101.78268429612707,101.78268429612707,100.0,0.14470417746339523,0.2213957718787682,22.53425595363403,NOISY_TWO_POINT,,,,,,
0,physical coordinates + reward,0,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,PHYSICAL_UPDATE,,,,,,
1,physical coordinates + reward,1,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,PHYSICAL_UPDATE,,,,,,
2,physical coordinates + reward,2,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,PHYSICAL_UPDATE,,,,,,
3,physical coordinates + reward,3,33.30268848966276,33.30268848966276,100.0,-297.27253513713225,0.301026690589129,10.02499810376386,PHYSICAL_UPDATE,,,,,,
4,physical coordinates + reward,4,40.65692250399433,40.65692250399433,100.0,-196.5269622915947,0.30568544713038054,12.428229534578739,PHYSICAL_UPDATE,,,,,,
5,physical coordinates + reward,5,40.65692250399433,40.65692250399433,100.0,-196.5269622915947,0.30568544713038054,12.428229534578739,PHYSICAL_UPDATE,,,,,,
6,physical coordinates + reward,6,45.00322940999469,45.00322940999469,100.0,-153.2588216331421,0.281857644557636,12.684504238988033,PHYSICAL_UPDATE,,,,,,
7,physical coordinates + reward,7,45.00322940999469,45.00322940999469,100.0,-153.2588216331421,0.281857644557636,12.684504238988033,PHYSICAL_UPDATE,,,,,,
8,physical coordinates + reward,8,54.277065851732665,54.277065851732665,100.0,-87.2780252799033,0.33956098199770324,18.43037378056835,PHYSICAL_UPDATE,,,,,,
9,physical coordinates + reward,9,66.32192044411393,66.32192044411393,100.0,-37.009891312241,0.3584895540036719,23.77571568067741,PHYSICAL_UPDATE,,,,,,
10,physical coordinates + reward,10,88.58367526171875,88.58367526171875,100.0,-1.609042460793578,0.24176969856063135,21.4168484654186,PHYSICAL_UPDATE,,,,,,
11,physical coordinates + reward,11,88.58367526171875,88.58367526171875,100.0,-1.609042460793578,0.24176969856063135,21.4168484654186,PHYSICAL_UPDATE,,,,,,
12,physical coordinates + reward,12,108.86065585366194,108.86065585366194,100.0,-0.2163046257569078,0.21946820266610434,23.891452481256515,PHYSICAL_UPDATE,,,,,,
13,physical coordinates + reward,13,108.86065585366194,108.86065585366194,100.0,-0.2163046257569078,0.21946820266610434,23.891452481256515,PHYSICAL_UPDATE,,,,,,
14,physical coordinates + reward,14,108.86065585366194,108.86065585366194,100.0,-0.2163046257569078,0.21946820266610434,23.891452481256515,PHYSICAL_UPDATE,,,,,,
15,physical coordinates + reward,15,92.33777552618443,92.33777552618443,100.0,-0.09926287191663341,0.22990723617146896,21.229122765446572,PHYSICAL_UPDATE,,,,,,
16,physical coordinates + reward,16,105.43213528564392,105.43213528564392,100.0,0.4969912544453988,0.24250459604138017,25.567777377225223,PHYSICAL_UPDATE,,,,,,
17,physical coordinates + reward,17,105.43213528564392,105.43213528564392,100.0,0.4969912544453988,0.24250459604138017,25.567777377225223,PHYSICAL_UPDATE,,,,,,
18,physical coordinates + reward,18,97.19027659705358,97.19027659705358,100.0,0.6133685848950278,0.2436324596483292,23.67870614124161,PHYSICAL_UPDATE,,,,,,
19,physical coordinates + reward,19,97.19027659705358,97.19027659705358,100.0,0.6133685848950278,0.2436324596483292,23.67870614124161,PHYSICAL_UPDATE,,,,,,
20,physical coordinates + reward,20,97.19027659705358,97.19027659705358,100.0,0.6133685848950278,0.2436324596483292,23.67870614124161,PHYSICAL_UPDATE,,,,,,
21,physical coordinates + reward,21,97.19027659705358,97.19027659705358,100.0,0.6133685848950278,0.2436324596483292,23.67870614124161,PHYSICAL_UPDATE,,,,,,
22,physical coordinates + reward,22,101.28040376583112,101.28040376583112,100.0,0.6397563420777446,0.24783084478777306,25.10040802573268,PHYSICAL_UPDATE,,,,,,
23,physical coordinates + reward,23,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
24,physical coordinates + reward,24,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
25,physical coordinates + reward,25,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
26,physical coordinates + reward,26,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
27,physical coordinates + reward,27,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
28,physical coordinates + reward,28,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
29,physical coordinates + reward,29,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
30,physical coordinates + reward,30,99.98193341424587,99.98193341424587,100.0,0.6310143620753016,0.24633924082896277,24.629473573877235,PHYSICAL_UPDATE,,,,,,
31,physical coordinates + reward,31,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
32,physical coordinates + reward,32,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
33,physical coordinates + reward,33,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
34,physical coordinates + reward,34,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
35,physical coordinates + reward,35,100.46771590117531,100.46771590117531,100.0,0.6445983895860841,0.2505583678301971,25.173026915826423,PHYSICAL_UPDATE,,,,,,
